0.001025,178
0.001077,180.3
0.001131,182.6
0.001189,185.1
0.001249,187.7
0.001312,190.4
0.001378,193.3
0.001447,196.2
0.001521,199.3
0.001597,202.4
0.001678,205.7
0.001763,209.1
0.001852,212.6
0.001945,216.3
0.002043,220
0.002147,224
0.002255,228
0.002369,232.3
0.002489,236.6
0.002614,241.1
0.002746,245.7
0.002885,250.5
0.003031,255.5
0.003184,260.6
0.003344,265.8
0.003513,271.3
0.003691,276.9
0.003877,282.6
0.004073,288.6
0.004278,294.7
0.004494,301
0.004721,307.5
0.00496,314.2
0.00521,321.1
0.005473,328.2
0.00575,335.5
0.00604,343
0.006345,350.7
0.006666,358.6
0.007002,366.8
0.007356,375.2
0.007727,383.8
0.008117,392.6
0.008527,401.7
0.008958,411.1
0.00941,420.8
0.009886,430.6
0.01038,440.1
0.01091,449.4
0.01146,458.4
0.01204,467.4
0.01265,476.7
0.01329,486.4
0.01396,496.2
0.01466,506.3
0.0154,516.5
0.01618,526.9
0.017,537.5
0.01785,548
0.01876,559
0.0197,569.9
0.0207,581
0.02174,592.2
0.02284,603.5
0.02399,614.9
0.02521,626.4
0.02648,637.9
0.02782,649.5
0.02922,661
0.0307,672.5
0.03225,683.9
0.03387,695.3
0.03559,706.5
0.03738,717.6
0.03927,728.4
0.04125,739
0.04334,749.3
0.04552,759.2
0.04782,768.7
0.05024,777.7
0.05278,786.1
0.05544,793.9
0.05824,801.1
0.06118,807.5
0.06427,813
0.06752,817.7
0.07093,821.4
0.07451,824.1
0.07827,825.7
0.08222,826.1
0.08637,825.4
0.09073,823.5
0.09532,820.4
0.1001,816
0.1052,810.4
0.1105,803.7
0.1161,795.7
0.1219,786.6
0.1281,776.1
0.1346,764.5
0.1414,752.3
0.1485,739.7
0.156,727
0.1639,714.1
0.1722,701.2
0.1808,688.3
0.19,675.1
0.1996,661.9
0.2096,648.7
0.2202,635.3
0.2314,621.8
0.243,608.4
0.2553,594.8
0.2682,581.3
0.2817,567.7
0.296,554.1
0.3109,540.5
0.3266,527
0.3431,513.5
0.3604,500.1
0.3786,486.7
0.3978,473.4
0.4178,460.2
0.4389,447.2
0.4611,434.2
0.4844,421.4
0.5089,408.7
0.5346,396.2
0.5616,384
0.5899,372
0.6197,360.3
0.651,348.9
0.6839,337.7
0.7184,326.8
0.7547,316.2
0.7928,305.8
0.8328,295.8
0.8749,286
0.9191,276.5
0.9655,267.2
1.014,258.3
1.065,249.6
1.119,241.1
1.176,232.8
1.235,224.8
1.297,217.2
1.363,209.6
1.432,202.3
1.504,195.3
1.58,188.5
1.66,181.8
1.744,175.4
1.832,169.2
1.924,163.2
2.021,157.4
2.124,151.7
2.231,146.3
2.343,141.1
2.462,135.9
2.586,131
2.717,126.3
2.854,121.7
2.998,117.2
3.149,112.9
3.308,108.8
3.475,104.8
3.651,100.9
3.835,97.14
4.029,93.52
4.232,90.04
4.446,86.67
4.671,83.41
4.906,80.28
5.154,77.26
5.415,74.33
5.688,71.52
5.975,68.81
6.277,66.18
6.594,63.66
6.927,61.22
7.277,58.87
7.644,56.61
8.03,54.43
8.436,52.33
8.862,50.31
9.309,48.37
9.779,46.49
10.27,44.7
10.79,42.96
11.34,41.27
11.91,39.67
12.51,38.13
13.14,36.64
13.81,35.2
14.5,33.84
15.24,32.5
16,31.24
16.81,30.02
17.66,28.84
18.55,27.71
19.49,26.62
20.48,25.57
21.51,24.57
22.6,23.6
23.74,22.68
24.93,21.8
26.19,20.94
27.52,20.12
28.91,19.33
30.37,18.57
31.9,17.85
33.51,17.15
35.2,16.49
36.98,15.85
38.85,15.23
40.81,14.64
42.87,14.07
45.03,13.53
47.31,13.01
49.7,12.51
52.21,12.03
54.84,11.57
57.61,11.13
60.52,10.71
63.58,10.3
66.79,9.914
70.16,9.542
73.7,9.186
77.43,8.844
81.34,8.517
85.44,8.204
89.76,7.903
94.29,7.616
99.05,7.341
104.1,7.075
109.3,6.826
114.8,6.585
120.6,6.354
126.7,6.132
133.1,5.921
139.8,5.719
146.9,5.524
154.3,5.34
162.1,5.163
170.3,4.993
178.9,4.832
187.9,4.678
197.4,4.53
207.4,4.389
217.9,4.254
228.9,4.126
240.4,4.004
252.6,3.887
265.3,3.776
278.7,3.67
292.8,3.568
